,id,squad,year,players,age,possesion,matches_played,starts,min_playing_time,minutes_played_90s,goals,assists,non_penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_plus_assists_per_90,goals_minus_penalty_kicks_per_90,goals_plus_assists_minus_penalty_kicks_per_90,continent
3,4,Cameroon,2019,20,27.7,36.0,4,44,360,4.0,3,3,3,0,0,6.0,0.0,0.75,0.75,1.5,0.75,1.5,Afrika
11,12,Jamaica,2019,20,22.9,36.7,3,33,270,3.0,1,1,1,0,0,4.0,0.0,0.33,0.33,0.67,0.33,0.67,Afrika
16,17,Nigeria,2019,20,25.7,34.8,4,44,360,4.0,1,1,1,0,0,6.0,1.0,0.25,0.25,0.5,0.25,0.5,Afrika
19,20,South Africa,2019,19,27.5,38.0,3,33,270,3.0,1,1,1,0,0,7.0,1.0,0.33,0.33,0.67,0.33,0.67,Afrika
26,27,Cameroon,2015,17,25.1,48.8,4,44,360,4.0,9,5,5,4,4,6.0,0.0,2.25,1.25,3.5,1.25,2.5,Afrika
31,32,Côte d'Ivoire,2015,19,25.0,45.0,3,33,270,3.0,3,0,3,0,0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,Afrika
41,42,Nigeria,2015,17,24.6,48.3,3,33,270,3.0,3,3,3,0,0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,Afrika
53,54,Equ. Guinea,2011,15,26.1,40.7,3,33,270,3.0,2,0,2,0,0,,,0.67,0.0,0.67,0.67,0.67,Afrika
60,61,Nigeria,2011,17,24.3,50.7,3,33,270,3.0,1,0,1,0,0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Afrika
72,73,Ghana,2007,19,24.5,52.3,3,33,270,3.0,3,0,2,1,1,,,1.0,0.0,1.0,0.67,0.67,Afrika
76,77,Nigeria,2007,15,23.6,51.0,3,33,270,3.0,1,0,1,0,0,,,0.33,0.0,0.33,0.33,0.33,Afrika
87,88,Ghana,2003,15,25.4,47.7,3,33,270,3.0,2,0,2,0,0,,,0.67,0.0,0.67,0.67,0.67,Afrika
